filename	promotion	nomination
/July 2018
1 The Thing (1982 film)	13:59, 31 July 2018	16:09, 5 April 2018
2 Japanese battleship Hyūga	05:26, 29 July 2018	00:54, 7 June 2018
3 Neil Armstrong	04:48, 29 July 2018	
4 Edmonds station (Washington)	16:39, 26 July 2018	04:42, 15 May 2018
5 Gallimimus	09:40, 22 July 2018	15:27, 30 June 2018
6 Northern gannet	08:17, 22 July 2018	04:12, 20 June 2018
7 Abby (TV series)	08:01, 22 July 2018	23:25, 19 June 2018
8 Oxalaia	07:43, 22 July 2018	05:26, 16 June 2018
9 William M. Branham	07:02, 22 July 2018	17:29, 29 May 2018
10 Cortinarius caperatus	07:03, 22 July 2018	00:02, 21 May 2018
11 Claude Debussy	15:52, 9 July 2018	16:47, 14 June 2018
12 Peter Drummond (RAF officer)	15:52, 9 July 2018	23:32, 11 June 2018
13 Bougainville counterattack	15:52, 9 July 2018	07:34, 10 June 2018
14 Yeomanry Cavalry	13:35, 9 July 2018	11:08, 3 June 2018
15 Taapaca	13:31, 9 July 2018	08:14, 30 May 2018
16 Second Australian Imperial Force in the United Kingdom	13:31, 9 July 2018	04:41, 27 May 2018
17 St Donat's Castle	13:31, 9 July 2018	09:12, 22 May 2018
18 North Cascades National Park	13:31, 9 July 2018	14:16, 18 May 2018
19 SMS Hessen	13:30, 9 July 2018	12:08, 14 May 2018
20 Helicopter 66	12:42, 9 July 2018	23:14, 14 May 2018
21 2nd Red Banner Army	12:42, 9 July 2018	09:47, 14 May 2018
/June 2018
1 Isis	23:57, 30 June 2018	14:34, 27 May 2018
2 Catopsbaatar	14:45, 30 June 2018	21:59, 21 May 2018
3 Lady Blue (TV series)	12:54, 30 June 2018	03:56, 21 May 2018
4 Death of Ms Dhu	12:42, 30 June 2018	06:42, 19 May 2018
5 The Bill (Inside No. 9)	12:04, 30 June 2018	08:14, 29 April 2018
6 Oxenfree	10:55, 30 June 2018	19:30, 26 March 2018
7 Ham Wall	19:37, 19 June 2018	08:34, 18 May 2018
8 Jørgen Jensen (soldier)	23:27, 18 June 2018	01:57, 12 May 2018
9 It Is the Law	23:12, 18 June 2018	16:39, 14 May 2018
10 Quebec Agreement	23:13, 18 June 2018	00:51, 17 April 2018
11 Nicholas Hoult	11:21, 12 June 2018	09:19, 12 May 2018
12 Hoodening	11:05, 12 June 2018	20:37, 28 April 2018
13 Gevninge helmet fragment	15:56, 11 June 2018	19:29, 26 April 2018
14 Ceratosaurus	15:04, 11 June 2018	18:37, 22 April 2018
15 Cleopatra	15:05, 11 June 2018	14:15, 8 April 2018
16 Hudson Sesquicentennial half dollar	19:40, 1 June 2018	23:55, 9 May 2018
/May 2018
1 Guy Burgess	10:15, 31 May 2018	14:19, 30 April 2018
2 Red warbler	13:41, 31 May 2018	07:06, 29 April 2018
3 Antiochus X Eusebes	10:27, 31 May 2018	03:37, 17 April 2018
4 Black Hours, Morgan MS 493	12:12, 30 May 2018	13:03, 7 April 2018
5 Lazarus (comics)	13:04, 30 May 2018	17:12, 9 March 2018
6 Tutupaca	13:15, 29 May 2018	15:17, 27 March 2018
7 Australian Air Corps	13:20, 24 May 2018	23:51, 4 April 2018
8 Construction of Rockefeller Center	13:20, 24 May 2018	14:29, 4 April 2018
9 Lord Howe swamphen	07:09, 20 May 2018	14:01, 25 April 2018
10 Royal Naval Division War Memorial	07:49, 20 May 2018	
11 Ficus macrophylla	09:32, 20 May 2018	02:49, 11 April 2018
12 Edward the Elder	15:04, 15 May 2018	17:25, 17 March 2018
13 Socialist Soviet Republic of Abkhazia	14:32, 15 May 2018	23:29, 23 February 2018
14 First Battle of Dernancourt	09:28, 13 May 2018	03:47, 24 March 2018
15 Cooperative pulling paradigm	06:29, 13 May 2018	10:41, 18 March 2018
16 SMS Braunschweig	06:16, 13 May 2018	13:22, 7 March 2018
17 Messier 87	16:40, 12 May 2018	03:22, 20 March 2018
18 Mark XIV bomb sight	13:23, 10 May 2018	20:20, 6 March 2018
19 2007 AT&T 250	00:05, 10 May 2018	17:46, 3 March 2018
20 Sonic X-treme	23:51, 9 May 2018	23:03, 10 February 2018
21 Simon Hatley	14:15, 8 May 2018	08:27, 11 April 2018
22 Ford Piquette Avenue Plant	14:09, 8 May 2018	17:52, 3 April 2018
23 Central Link	11:21, 8 May 2018	23:31, 14 March 2018
24 John de Mowbray, 3rd Duke of Norfolk	14:02, 8 May 2018	20:08, 2 March 2018
25 Flora of Madagascar	11:44, 2 May 2018	20:28, 21 February 2018
/April 2018
1 Rhine Campaign of 1796	10:38, 29 April 2018	16:24, 16 January 2018
2 The Boat Race 2018	01:33, 29 April 2018	18:04, 24 March 2018
3 The Riddle of the Sphinx (Inside No. 9)	02:40, 29 April 2018	16:58, 17 March 2018
4 WestJet Encore	03:12, 29 April 2018	00:55, 11 March 2018
5 Buckton Castle	02:56, 29 April 2018	18:29, 10 March 2018
6 André Messager	03:48, 28 April 2018	09:51, 8 April 2018
7 Porlock Stone Circle	04:38, 28 April 2018	15:32, 28 March 2018
8 Borodino-class battlecruiser	05:40, 28 April 2018	02:33, 23 February 2018
9 Shorwell helmet	14:17, 25 April 2018	21:51, 6 March 2018
10 Dilophosaurus	13:29, 25 April 2018	22:50, 9 February 2018
11 Dubnium	15:06, 21 April 2018	07:32, 27 February 2018
12 Sonic Adventure	07:46, 21 April 2018	20:12, 20 February 2018
13 Hi-Level	06:53, 21 April 2018	20:04, 4 February 2018
14 2017–18 Bergen County eruv controversy	21:16, 10 April 2018	08:44, 17 March 2018
15 Banksia petiolaris	21:08, 10 April 2018	20:10, 12 March 2018
16 Panzer Dragoon Saga	22:13, 4 April 2018	08:01, 3 March 2018
